type,role,sendMsgFile,handshake1_len,handshake2_len,handshake3_len,c2sCipher,c2sPlain,s2cCipher,s2cPlain,handshakeCPUTime,commCPUTime
ukey2,server,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,115583777,21432281
ukey2,client,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,116874798,32105612
ukey2,server,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,115980477,20775130
ukey2,client,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,117923419,30467730
ukey2,server,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,108252509,20534591
ukey2,client,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,109748481,34374494
ukey2,server,resources/plain.1KB.txt,136,118,79,1110,1024,1110,1024,124969586,17627918
ukey2,client,resources/plain.1KB.txt,136,118,79,1110,1024,1110,1024,122817494,31730952
ukey2,server,resources/plain.1KB.txt,136,118,78,1110,1024,1110,1024,109026909,20725621
ukey2,client,resources/plain.1KB.txt,136,118,78,1110,1024,1110,1024,111928462,29151610
ukey2,server,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,115949006,21007122
ukey2,client,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,116962697,32550393
ukey2,server,resources/plain.1KB.txt,136,118,80,1110,1024,1110,1024,114826175,15428295
ukey2,client,resources/plain.1KB.txt,136,118,80,1110,1024,1110,1024,100077050,46457067
ukey2,server,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,123451124,21977802
ukey2,client,resources/plain.1KB.txt,136,117,80,1110,1024,1110,1024,126475927,30719781
ukey2,server,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,118499939,20827551
ukey2,client,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,121133431,30013570
ukey2,server,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,117245628,20733641
ukey2,client,resources/plain.1KB.txt,136,116,79,1110,1024,1110,1024,118254069,34574535
ukey2,server,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,112913543,16400317
ukey2,client,resources/plain.1KB.txt,136,117,79,1110,1024,1110,1024,100343531,42444903
